"片名"	"作者"	"年份"	"类型"	"地区"	"总集数"	"当前集数"	"简介"	"语言"	"字幕"	"播放次数"	"评分"	"封面"	"海报"	"信息完整性"	"格式"	"视频尺寸"	"播放链接"	"播放链接有效性"	"下载链接"	"下载链接有效性"	"检查时间"	"是否上线"
"海绵宝宝"	"乔治·R·R·马丁"	"1999"	"剧情|奇幻|冒险"	"美国"	"121"	"1"	"哇"	"英语"	"中文"	"1000"	"80"	"haimianbaobao.jpg"	"haimianbaobao.jpg"	"1"	"swf"	"1280720"	"http://player.video.qiyi.com/f605b8f77819423a9e72c013356c1921/0/1359/dongman/20101213/n137170.swf-albumId=15776-tvId=54050-isPurchase=0-cnId=4"	"1"	"http://player.video.qiyi.com/f605b8f77819423a9e72c013356c1921/0/1359/dongman/20101213/n137170.swf-albumId=15776-tvId=54050-isPurchase=0-cnId=4"	"1"	"20150812"	"1"
"海绵宝宝"	"乔治·R·R·马丁"	"1999"	"剧情|奇幻|冒险"	"美国"	"121"	"2"	"哇"	"英语"	"中文"	"1000"	"80"	"haimianbaobao.jpg"	"haimianbaobao.jpg"	"1"	"swf"	"1280720"	"http://player.video.qiyi.com/a3d744efeec54102878d37f47557c853/0/1354/dongman/20101213/n137208.swf-albumId=15776-tvId=54053-isPurchase=0-cnId=4"	"1"	"http://player.video.qiyi.com/a3d744efeec54102878d37f47557c853/0/1354/dongman/20101213/n137208.swf-albumId=15776-tvId=54053-isPurchase=0-cnId=4"	"1"	"20150812"	"1"
"海绵宝宝"	"乔治·R·R·马丁"	"1999"	"剧情|奇幻|冒险"	"美国"	"121"	"3"	"哇"	"英语"	"中文"	"1000"	"80"	"haimianbaobao.jpg"	"haimianbaobao.jpg"	"1"	"swf"	"1280720"	"http://player.video.qiyi.com/4b62c90c840346e6a0342b97a31d80a7/0/1355/dongman/20101213/n137213.swf-albumId=15776-tvId=54081-isPurchase=0-cnId=4"	"1"	"http://player.video.qiyi.com/4b62c90c840346e6a0342b97a31d80a7/0/1355/dongman/20101213/n137213.swf-albumId=15776-tvId=54081-isPurchase=0-cnId=4"	"1"	"20150812"	"1"
"海绵宝宝"	"乔治·R·R·马丁"	"1999"	"剧情|奇幻|冒险"	"美国"	"121"	"4"	"哇"	"英语"	"中文"	"1000"	"80"	"haimianbaobao.jpg"	"haimianbaobao.jpg"	"1"	"swf"	"1280720"	"http://player.video.qiyi.com/b97e1198eabd4463aaf2af71f59eb431/0/1354/dongman/20101213/n137285.swf-albumId=15776-tvId=54082-isPurchase=0-cnId=4"	"1"	"http://player.video.qiyi.com/b97e1198eabd4463aaf2af71f59eb431/0/1354/dongman/20101213/n137285.swf-albumId=15776-tvId=54082-isPurchase=0-cnId=4"	"1"	"20150812"	"1"
"海绵宝宝"	"乔治·R·R·马丁"	"1999"	"剧情|奇幻|冒险"	"美国"	"121"	"5"	"哇"	"英语"	"中文"	"1000"	"80"	"haimianbaobao.jpg"	"haimianbaobao.jpg"	"1"	"swf"	"1280720"	"http://player.video.qiyi.com/2636e27da4a34edb8603ea9c93f21928/0/1350/dongman/20101213/n137342.swf-albumId=15776-tvId=54083-isPurchase=0-cnId=4"	"1"	"http://player.video.qiyi.com/2636e27da4a34edb8603ea9c93f21928/0/1350/dongman/20101213/n137342.swf-albumId=15776-tvId=54083-isPurchase=0-cnId=4"	"1"	"20150812"	"1"
"海绵宝宝"	"乔治·R·R·马丁"	"1999"	"剧情|奇幻|冒险"	"美国"	"121"	"6"	"哇"	"英语"	"中文"	"1000"	"80"	"haimianbaobao.jpg"	"haimianbaobao.jpg"	"1"	"swf"	"1280720"	"http://player.video.qiyi.com/c54444eb213b49b2b18619d4ad27a77d/0/1353/dongman/20101213/n137345.swf-albumId=15776-tvId=54084-isPurchase=0-cnId=4"	"1"	"http://player.video.qiyi.com/c54444eb213b49b2b18619d4ad27a77d/0/1353/dongman/20101213/n137345.swf-albumId=15776-tvId=54084-isPurchase=0-cnId=4"	"1"	"20150812"	"1"
"海绵宝宝"	"乔治·R·R·马丁"	"1999"	"剧情|奇幻|冒险"	"美国"	"121"	"7"	"哇"	"英语"	"中文"	"1000"	"80"	"haimianbaobao.jpg"	"haimianbaobao.jpg"	"1"	"swf"	"1280720"	"http://player.video.qiyi.com/62dc4be1d8214a68957040ab2fc6f693/0/1354/dongman/20101213/n137348.swf-albumId=15776-tvId=54085-isPurchase=0-cnId=4"	"1"	"http://player.video.qiyi.com/62dc4be1d8214a68957040ab2fc6f693/0/1354/dongman/20101213/n137348.swf-albumId=15776-tvId=54085-isPurchase=0-cnId=4"	"1"	"20150812"	"1"
"海绵宝宝"	"乔治·R·R·马丁"	"1999"	"剧情|奇幻|冒险"	"美国"	"121"	"8"	"哇"	"英语"	"中文"	"1000"	"80"	"haimianbaobao.jpg"	"haimianbaobao.jpg"	"1"	"swf"	"1280720"	"http://player.video.qiyi.com/504ea3b5ec8e4922a0bf76787a7fc69d/0/1354/dongman/20101213/n137349.swf-albumId=15776-tvId=54086-isPurchase=0-cnId=4"	"1"	"http://player.video.qiyi.com/504ea3b5ec8e4922a0bf76787a7fc69d/0/1354/dongman/20101213/n137349.swf-albumId=15776-tvId=54086-isPurchase=0-cnId=4"	"1"	"20150812"	"1"
"海绵宝宝"	"乔治·R·R·马丁"	"1999"	"剧情|奇幻|冒险"	"美国"	"121"	"9"	"哇"	"英语"	"中文"	"1000"	"80"	"haimianbaobao.jpg"	"haimianbaobao.jpg"	"1"	"swf"	"1280720"	"http://player.video.qiyi.com/1a8ea5ee777f4434b141fd95a56fcc77/0/1352/dongman/20101213/n137353.swf-albumId=15776-tvId=54087-isPurchase=0-cnId=4"	"1"	"http://player.video.qiyi.com/1a8ea5ee777f4434b141fd95a56fcc77/0/1352/dongman/20101213/n137353.swf-albumId=15776-tvId=54087-isPurchase=0-cnId=4"	"1"	"20150812"	"1"
"海绵宝宝"	"乔治·R·R·马丁"	"1999"	"剧情|奇幻|冒险"	"美国"	"121"	"10"	"哇"	"英语"	"中文"	"1000"	"80"	"haimianbaobao.jpg"	"haimianbaobao.jpg"	"1"	"swf"	"1280720"	"http://player.video.qiyi.com/b434d629f07b43f7ab60b4ab80d79e30/0/1354/dongman/20101213/n137354.swf-albumId=15776-tvId=54100-isPurchase=0-cnId=4"	"1"	"http://player.video.qiyi.com/b434d629f07b43f7ab60b4ab80d79e30/0/1354/dongman/20101213/n137354.swf-albumId=15776-tvId=54100-isPurchase=0-cnId=4"	"1"	"20150812"	"1"
