"片名"	"主演"	"导演"	"年份"	"类型"	"地区"	"片长"	"评分"	"语言"	"字幕"	"播放次数"	"简介"	"封面"	"海报"	"信息完整性"	"格式"	"视频尺寸"	"播放链接"	"播放链接有效性"	"下载链接"	"下载链接有效性"	"检查时间"	"是否上线"
"天将雄师"	"成龙、约翰·库萨克、艾德里安·布洛迪、崔始源、林鹏"	"李仁港"	"2015"	"战争|古装"	"内地"	"127"	"80"	"汉语"	"中文"	"1000"	"不错的古装武打片哦~"	"tianjiangxiongshi.jpg"	"tianjiangxiongshi.jpg"	"1"	"rmvb"	"1280720"	"http://player.video.qiyi.com/d225f9b94d363c4d26e3d920f168bd82/0/7635/v_19rrnzltks.swf-albumId=336122000-tvId=336122000-isPurchase=0-cnId=1"	"1"	"http://player.video.qiyi.com/d225f9b94d363c4d26e3d920f168bd82/0/7635/v_19rrnzltks.swf-albumId=336122000-tvId=336122000-isPurchase=0-cnId=1"	"1"	"20150714"	"1"
"何以笙箫默"	"黄晓明、杨幂、佟大为、杨颖、谢依霖"	"杨文军、黄斌"	"2015"	"爱情|青春|剧情"	"内地"	"107"	"36"	"汉语"	"中文"	"1000"	"装文艺~"	"heyishengxiaomo.jpg"	"heyishengxiaomo.jpg"	"1"	"swf"	"1280720"	"http://player.video.qiyi.com/736ddaf0c861e9f508de9afcf2d510d0/0/6471/v_19rrnsm1qw.swf-albumId=364322"	"1"	"http://player.video.qiyi.com/736ddaf0c861e9f508de9afcf2d510d0/0/6471/v_19rrnsm1qw.swf-albumId=364322"	"1"	"20150720"	"1"
"霍比特人3:五军之战"	"马丁·弗瑞曼、伊恩·麦克莱恩、理查德·阿米蒂奇"	"彼得·杰克逊"	"2014"	"动作|奇幻|冒险"	"美国"	"145"	"82"	"英语"	"中文"	"1000"	"大赞的魔幻片~"	"huobiteren3.jpg"	"huobiteren3.jpg"	"1"	"swf"	"1280720"	"http://v.youku.com/v_show/id_XOTMwMjQ2MDI4.html"	"0"	"ftp://a.gbl.114s.com:20320/0597/霍比特人3五军之战BD国英双语双字.mkv"	"1"	"20150720"	"1"
"超凡蜘蛛侠"	"安德鲁·加菲尔德、艾玛·斯通 瑞斯"	"马克·韦布"	"2012"	"冒险|动作|科幻"	"美国"	"136"	"73"	"英语"	"中文"	"1000"	"美英雄主义影片"	"chaofanzhizhuxia.jpg"	"chaofanzhizhuxia.jpg"	"1"	"swf"	"1280720"	"ftp://pub:pub@a.gbl.114s.com:20320/caa/超凡蜘蛛侠dvd中英双字.rmvb"	"0"	"ftp://pub:pub@a.gbl.114s.com:20320/caa/超凡蜘蛛侠dvd中英双字.rmvb"	"1"	"20150720"	"1"
"LEGION"	"保罗·贝坦尼、丹尼斯·奎德、卢卡斯·布莱克"	"Scott"	"2010"	"动作|奇幻|惊悚"	"美国"	"100"	"50"	"英语"	"中文"	"1000"	"宗教"	"LEGION.jpg"	"LEGION.jpg"	"1"	"swf"	"1280720"	"ftp://a.gbl.114s.com:20320/0823/基督再临BD中英双字1280x720高清版.rmvb"	"0"	"ftp://a.gbl.114s.com:20320/0823/基督再临BD中英双字1280x720高清版.rmvb"	"1"	"20150720"	"1"
"澳门风云2"	"周润发、张家辉、刘嘉玲"	"王晶"	"2015"	"搞笑|动作"	"香港"	"110"	"71"	"汉语"	"中文"	"1000"	"随着澳门赌侠石一坚（周润发饰）协助国际刑警大破洗钱集团DOA后便退隐江湖，可是DOA首席会计师小马（张家..."	"aomenfengyun2.jpg"	"aomenfengyun2.jpg"	"1"	"swf"	"1280720"	"http://player.youku.com/player.php/sid/XOTM1MTEwODQ0/v.swf"	"1"	"http://player.youku.com/player.php/sid/XOTM1MTEwODQ0/v.swf"	"1"	"20150804"	"1"
"万物生长"	"范冰冰、韩庚"	"李玉"	"2015"	"搞笑|爱情"	"内地"	"105"	"66"	"汉语"	"中文"	"1000"	"故事发生在20世纪90年代，医科大学生秋水（韩庚 饰）和宿舍好友厚朴（张博宇 饰）、黄芪（杨迪 饰）、辛..."	"wanwushengzhang.jpg"	"wanwushengzhang.jpg"	"1"	"swf"	"1280720"	"http://player.video.qiyi.com/6ad3af50c1c5d05e68e5b06fe11dfa06/0/6354/v_19rrnp4wy8.swf-albumId=354157500-tvId=354157500-isPurchase=0-cnId=1"	"1"	"http://player.video.qiyi.com/6ad3af50c1c5d05e68e5b06fe11dfa06/0/6354/v_19rrnp4wy8.swf-albumId=354157500-tvId=354157500-isPurchase=0-cnId=1"	"1"	"20150804"	"1"
"我是女王"	"宋慧乔、姜武、陈乔恩"	"伊能静"	"2015"	"剧情|爱情"	"内地"	"105"	"60"	"汉语"	"中文"	"1000"	"这是一个关于女人觉醒的故事.艺人Annie(宋慧乔 饰)多年的恋情走到了尽头,幸好,还有Candy(陈乔恩 饰),Tina..."	"woshinvwang.jpg"	"woshinvwang.jpg"	"1"	"swf"	"1280720"	"http://player.video.qiyi.com/6eb248a8740e24a612e490788d8db754/0/6358/v_19rrnl6cbc.swf-albumId=360088500-tvId=360088500-isPurchase=0-cnId=1"	"1"	"http://player.video.qiyi.com/6eb248a8740e24a612e490788d8db754/0/6358/v_19rrnl6cbc.swf-albumId=360088500-tvId=360088500-isPurchase=0-cnId=1"	"1"	"20150804"	"1"
"西游记之大闹天宫"	"甄子丹、周润发、郭富城、何润东"	"郑保瑞"	"2014"	"动作|奇幻"	"内地"	"119"	"42"	"汉语"	"中文"	"1000"	"电影讲述孙悟空（甄子丹 饰）曾跟菩提祖师修成七十二变，决心要成为神仙，但因青梅竹马的好友九尾..."	"xiyoujizhidanaotiangong.jpg"	"xiyoujizhidanaotiangong.jpg"	"1"	"swf"	"1280720"	"http://player.video.qiyi.com/3ba5cef8e3c936c1b846d4f0a1280ca9/0/7159/v_19rrh4cjcc.swf-albumId=231318400-tvId=231318400-isPurchase=0-cnId=1"	"1"	"http://player.video.qiyi.com/3ba5cef8e3c936c1b846d4f0a1280ca9/0/7159/v_19rrh4cjcc.swf-albumId=231318400-tvId=231318400-isPurchase=0-cnId=1"	"1"	"20150804"	"1"
"触不到的恋人"	"李政宰/全智贤/金茂生"	"李铉升"	"2000"	"奇幻|剧情|科幻"	"韩国"	"96"	"87"	"韩语"	"中文"	"1000"	"星贤（李政宰 饰）搬到一个海边小屋，他为房屋取了一个意大利文的名字“Il Mare”，意思是“海”。整理房..."	"chubudaodelianren.jpg"	"chubudaodelianren.jpg"	"1"	"swf"	"1280720"	"http://player.youku.com/player.php/sid/XMTkxNTI1MTg0/v.swf"	"1"	"http://player.youku.com/player.php/sid/XMTkxNTI1MTg0/v.swf"	"1"	"20150804"	"1"
