"片名"	"主演"	"导演"	"年份"	"类型"	"地区"	"总集数"	"当前集数"	"简介"	"语言"	"字幕"	"播放次数"	"评分"	"封面"	"海报"	"信息完整性"	"格式"	"视频尺寸"	"播放链接"	"播放链接有效性"	"下载链接"	"下载链接有效性"	"检查时间"	"是否上线"
"权力的游戏第一季"	"伊萨克·亨普斯特德.../查尔斯·丹斯/约翰·C·布莱德利"	"乔治·R·R·马丁"	"2011"	"剧情|奇幻|冒险"	"美国"	"10"	"2"	"哇"	"英语"	"中文"	"1000"	"80"	"quanlideyouxi1.jpg"	"quanlideyouxi1.jpg"	"1"	"swf"	"1280720"	"http://static.video.qq.com/TPout.swf?vid=f0015veyl6a&auto=0"	"1"	"http://static.video.qq.com/TPout.swf?vid=f0015veyl6a&auto=0"	"1"	"20150812"	"1"
"权力的游戏第一季"	"伊萨克·亨普斯特德.../查尔斯·丹斯/约翰·C·布莱德利"	"乔治·R·R·马丁"	"2011"	"剧情|奇幻|冒险"	"美国"	"10"	"3"	"哇"	"英语"	"中文"	"1000"	"80"	"quanlideyouxi1.jpg"	"quanlideyouxi1.jpg"	"1"	"swf"	"1280720"	"http://static.video.qq.com/TPout.swf?vid=b001593f22o&auto=0"	"1"	"http://static.video.qq.com/TPout.swf?vid=b001593f22o&auto=0"	"1"	"20150812"	"1"
"权力的游戏第一季"	"伊萨克·亨普斯特德.../查尔斯·丹斯/约翰·C·布莱德利"	"乔治·R·R·马丁"	"2011"	"剧情|奇幻|冒险"	"美国"	"10"	"4"	"哇"	"英语"	"中文"	"1000"	"80"	"quanlideyouxi1.jpg"	"quanlideyouxi1.jpg"	"1"	"swf"	"1280720"	"http://static.video.qq.com/TPout.swf?vid=g0015u6x8zd&auto=0"	"1"	"http://static.video.qq.com/TPout.swf?vid=g0015u6x8zd&auto=0"	"1"	"20150812"	"1"
"权力的游戏第一季"	"伊萨克·亨普斯特德.../查尔斯·丹斯/约翰·C·布莱德利"	"乔治·R·R·马丁"	"2011"	"剧情|奇幻|冒险"	"美国"	"10"	"5"	"哇"	"英语"	"中文"	"1000"	"80"	"quanlideyouxi1.jpg"	"quanlideyouxi1.jpg"	"1"	"swf"	"1280720"	"http://static.video.qq.com/TPout.swf?vid=j0015ijddmw&auto=0"	"1"	"http://static.video.qq.com/TPout.swf?vid=j0015ijddmw&auto=0"	"1"	"20150812"	"1"
"权力的游戏第一季"	"伊萨克·亨普斯特德.../查尔斯·丹斯/约翰·C·布莱德利"	"乔治·R·R·马丁"	"2011"	"剧情|奇幻|冒险"	"美国"	"10"	"6"	"哇"	"英语"	"中文"	"1000"	"80"	"quanlideyouxi1.jpg"	"quanlideyouxi1.jpg"	"1"	"swf"	"1280720"	"http://static.video.qq.com/TPout.swf?vid=d0015ybt7eo&auto=0"	"1"	"http://static.video.qq.com/TPout.swf?vid=d0015ybt7eo&auto=0"	"1"	"20150812"	"1"
"权力的游戏第一季"	"伊萨克·亨普斯特德.../查尔斯·丹斯/约翰·C·布莱德利"	"乔治·R·R·马丁"	"2011"	"剧情|奇幻|冒险"	"美国"	"10"	"7"	"哇"	"英语"	"中文"	"1000"	"80"	"quanlideyouxi1.jpg"	"quanlideyouxi1.jpg"	"1"	"swf"	"1280720"	"http://static.video.qq.com/TPout.swf?vid=y00152lzjfb&auto=0"	"1"	"http://static.video.qq.com/TPout.swf?vid=y00152lzjfb&auto=0"	"1"	"20150812"	"1"
"权力的游戏第一季"	"伊萨克·亨普斯特德.../查尔斯·丹斯/约翰·C·布莱德利"	"乔治·R·R·马丁"	"2011"	"剧情|奇幻|冒险"	"美国"	"10"	"8"	"哇"	"英语"	"中文"	"1000"	"80"	"quanlideyouxi1.jpg"	"quanlideyouxi1.jpg"	"1"	"swf"	"1280720"	"http://static.video.qq.com/TPout.swf?vid=u0015hricbm&auto=0"	"1"	"http://static.video.qq.com/TPout.swf?vid=u0015hricbm&auto=0"	"1"	"20150812"	"1"
"权力的游戏第一季"	"伊萨克·亨普斯特德.../查尔斯·丹斯/约翰·C·布莱德利"	"乔治·R·R·马丁"	"2011"	"剧情|奇幻|冒险"	"美国"	"10"	"9"	"哇"	"英语"	"中文"	"1000"	"80"	"quanlideyouxi1.jpg"	"quanlideyouxi1.jpg"	"1"	"swf"	"1280720"	"http://static.video.qq.com/TPout.swf?vid=x0015xqxgm0&auto=0"	"1"	"http://static.video.qq.com/TPout.swf?vid=x0015xqxgm0&auto=0"	"1"	"20150812"	"1"
"权力的游戏第一季"	"伊萨克·亨普斯特德.../查尔斯·丹斯/约翰·C·布莱德利"	"乔治·R·R·马丁"	"2011"	"剧情|奇幻|冒险"	"美国"	"10"	"10"	"哇"	"英语"	"中文"	"1000"	"80"	"quanlideyouxi1.jpg"	"quanlideyouxi1.jpg"	"1"	"swf"	"1280720"	"http://static.video.qq.com/TPout.swf?vid=e0015c4mv4x&auto=0"	"1"	"http://static.video.qq.com/TPout.swf?vid=e0015c4mv4x&auto=0"	"1"	"20150812"	"1"
"权力的游戏第一季"	"伊萨克·亨普斯特德.../查尔斯·丹斯/约翰·C·布莱德利"	"乔治·R·R·马丁"	"2011"	"剧情|奇幻|冒险"	"美国"	"10"	"1"	"哇"	"英语"	"中文"	"1000"	"80"	"quanlideyouxi1.jpg"	"quanlideyouxi1.jpg"	"1"	"swf"	"1280720"	"http://static.video.qq.com/TPout.swf?vid=t0015ohexi7&auto=0"	"1"	"http://static.video.qq.com/TPout.swf?vid=t0015ohexi7&auto=0"	"1"	"20150812"	"1"
